Namespace(heuristic=False, output='res/LunarLanderAgent3_corrected_with_heruistic.gif', weight='res/last_weight/5/LunarLander-v2.ckpt')

WARNING: The TensorFlow contrib module will not be included in TensorFlow 2.0.
For more information, please see:
  * https://github.com/tensorflow/community/blob/master/rfcs/20180907-contrib-sunset.md
  * https://github.com/tensorflow/addons
If you depend on functionality not listed there, please file an issue.

Restore model from res/last_weight/5/LunarLander-v2.ckpt
iteration:  1
reward  -2.6131426367112596 action  0
reward  -0.1484276727267428 action  2
reward  2.160998884439235 action  2
reward  -2.0720482004316367 action  3
reward  -1.6788813510295728 action  3
reward  -2.0342598404672714 action  0
reward  2.07944155971438 action  2
reward  -1.3235891255271202 action  3
reward  -1.2475411453093688 action  3
reward  3.789968168997558 action  2
reward  -1.5939006004963687 action  0
reward  3.122982044466224 action  2
reward  -0.8957580108123284 action  3
reward  -0.8965957338649975 action  3
reward  -1.1486029406333955 action  0
reward  3.3449978842614856 action  2
reward  -0.7002039676570593 action  3
reward  2.0245274106188846 action  2
reward  -0.2549919491016641 action  3
reward  3.5953370194608114 action  2
reward  3.2581300116729013 action  2
reward  0.33987981916232113 action  3
reward  0.3295623682604696 action  3
reward  0.7801605068672199 action  3
reward  3.1723834684481433 action  2
reward  0.29688300059875417 action  0
reward  1.0195381843274742 action  3
reward  4.961823541609971 action  2
reward  0.6221949574724732 action  0
reward  2.8636729005029737 action  2
reward  2.796478769737523 action  2
reward  5.57641225640639 action  2
reward  1.566281350351866 action  3
reward  1.539032189157841 action  2
reward  -4.129137165310283 action  0
reward  -4.358718803082481 action  1
reward  -4.145066883904298 action  1
reward  -3.887479153418488 action  1
reward  -3.59287928100879 action  1
reward  -3.404080503609278 action  1
reward  -3.09792235527962 action  1
reward  -2.9273896842027782 action  1
reward  11.171060751400415 action  2
reward  6.931540533979001 action  2
reward  6.25516925029972 action  2
reward  10.317012484821564 action  2
reward  19.61373051908453 action  2
reward  8.771958741269149 action  2
reward  -1.4971410598522639 action  2
reward  0.567429694401757 action  2
reward  0.20082619565869636 action  2
